"Kod::code";"Nazwa::name";"Waluta::currency_iso";"Kurs::currency_exchange";"Vat::vat_value";"Cena netto::price_netto";"Cena brutto::price_brutto";"Stara cena netto::old_price_netto";"Stara cena brutto::old_price_brutto";"Cena hurt A netto::wholesale_a_netto";"Cena hurt A brutto::wholesale_a_brutto";"Cena hurt B netto::wholesale_b_netto";"Cena hurt B brutto::wholesale_b_brutto";"Cena hurt C netto::wholesale_c_netto";"Cena hurt C brutto::wholesale_c_brutto";"Aktywny::active";"Opis::description";"Opis skrócony::short_description";"Opis do wyszukiwania::search_keywords";"Zdjęcia::product_images";"Waga::weight";"Ukryj cenę::hide_price";"Jednostka miary::uom";"Minimalna ilość::min_qty";"Maksymalna ilość::max_qty";"Wielokrotność ilości::step_qty";"Sprawdzaj stan magazynowy::is_stock_validated";"Zezwalaj na części dziesiętne w ilości::stock_in_decimals";"Zarządzaj magazynem z opcjami produktu::stock_managment";"Maksymalny rabat::max_discount";"Czas realizacji::execution_time";"Kod producenta::man_code";"Cena w punktach::points_value";"Zarobione punkty::points_earn";"Produkt tylko za punkty::points_only";"Priorytet::priority";"Ilość jednostki miary (jednostka)::bpum_default_id";"Ilość jednostki miary::bpum_default_value";"Prezentuje cenę dla (jednostka)::bpum_id";"Prezentuje cenę dla::bpum_value";"Polecane produkty::product_recommend";"Szerokość::width";"Wysokość::height";"Głębokość::depth";"Koszt dostawy::delivery_price";"Dostawy::deliveries";"Atrybuty - tytuł::attributes_label";"Dodatkowy opis::description2";"Akcesoria::product_accessories";"Dostepnosc::product_availability";"Ceneo::product_ceneo";"Magazyn::product_depository";"Google Shopping::google_shoppinig";"Kod MPN::mpn_code";"Grupa cenowa::group_price";"Pozycjonowanie_Tytuł::positioning_title";"Pozycjonowanie_Słowa_Kluczowe::positioning_keywords";"Pozycjonowanie_Opis::positioning_desc";"Nokaut::product_nokaut";"Okazje::product_okazje";"Opcje_produktu::product_options";"Radar::product_radar";"Skąpiec::product_skapiec";"Sklepy24::product_sklepy24";"Kategorie::product_categories";"Producent::product_producer"
"KB82001";"Klocki BLOCKI - SAMOLOTY 126 el.";"PLN";"";"23.00";"12.99";"15.98";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"72/0";"";"https://icom-poland.com/media/products/98aff994ea89569e55210949536ad759/images/KB82001.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6944811820010";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"0.00";"1";"";"";"";"";"";"0";"0";"{ ""typ_ceny"": ""netto"" }";"0";"0";"0";"OFERTA|BLOCKI|MyArmy";""
"KB84022";"Klocki Blocki MyArmy Samolot 255 el.";"PLN";"";"23.00";"39.99";"49.19";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"Klocki Blocki MyArmy Samolot 255 el.";"";"https://icom-poland.com/media/products/87d99601c5724915754b09ee65d50484/images/KB84022.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6944811340228";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"2.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy";"Icom Poland"
"KB0912";"Klocki Blocki MyArmy Baza Wojskowa 251 el.";"PLN";"";"23.00";"59.99";"73.79";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"Klocki BLOCKI MyArmy Baza Wojskowa to fantastyczny zestaw dla wszystkich małych żołnierzy! W skład zestawu wchodzi budynek bazy wojskowej ze strażnicą i radarem, kład, dron zwiadowczy, trzy figurki żołnierzy z akcesoriami.";"";"https://icom-poland.com/media/products/2c1ea7f4223e8de356a3c8727ea4ec04/images/KB0912.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6922018339122";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"1.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy";"Icom Poland"
"KB82005";"Klocki Blocki MyArmy Samolot 299 el.";"PLN";"";"23.00";"33.99";"41.81";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"<!--[mode:tiny]--><p>Klocki Blocki MyArmy Samolot 299 el.</p>";"";"https://icom-poland.com/media/products/4b3d7c485382c49941ec10281c0eedd1/images/KB82005.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6944811320053";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"16.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy";"Icom Poland"
"KB84007";"Klocki Blocki MyArmy Samolot 281 el.";"PLN";"";"23.00";"42.99";"52.88";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"<!--[mode:tiny]--><p>Klocki Blocki MyArmy Samolot 281 el.</p>";"";"https://icom-poland.com/media/products/57c03bef54621aa927a2523ead67af32/images/KB84007.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6944811340075";"0";"0";"0";"1";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"94.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy
OFERTA|PROMOCJE";"Icom Poland"
"KB0915";"Klocki Blocki MyArmy Czołg na pustyni 253 el.";"PLN";"";"23.00";"49.99";"61.49";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"<!--[mode:tiny]--><p>Klocki BLOCKI MyArmy Czołg na pustyni to zestaw z którym każda misja zakończy się sukcesem! Ten zestaw z serii MyArmy składa się z dużego czołgu oraz dwóch figurek żołnierzy.</p>";"";"https://icom-poland.com/media/products/0123cc442f8c27efed009974925d1f00/images/KB0915.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6922018369150";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"404.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy
OFERTA|NOWOŚCI ";"Icom Poland"
"KB82002";"Klocki Blocki MyArmy Samolot 402 el.";"PLN";"";"23.00";"54.99";"67.64";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"<!--[mode:tiny]--><p>Klocki Blocki MyArmy Samolot 402 el.</p>";"";"https://icom-poland.com/media/products/6f8c99e4a78a6e3eb12443164b8fa600/images/KB82002.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6944811820027";"0";"0";"0";"1";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"214.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy
OFERTA|PROMOCJE";"Icom Poland"
"KB0914";"Klocki Blocki MyArmy Akcja w dżungli 210 el.";"PLN";"";"23.00";"39.99";"49.19";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"Klocki BLOCKI MyArmy Akcja w Dżungli to zestaw z dużą, terenową ciężarówką wojskową do misji specjalnych. W skład zestawu wchodzi ciężarówka, strażnica oraz trzy figurki żołnierzy. ";"";"https://icom-poland.com/media/products/45b3ca00561c30b96af4ec99f194781a/images/KB0914.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6922018359144";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"330.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy
OFERTA|NOWOŚCI ";"Icom Poland"
"KB0916";"Klocki Blocki MyArmy Wyrzutnia Rakiet 222 el.";"PLN";"";"23.00";"49.99";"61.49";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"<!--[mode:tiny]--><p>Klocki BLOCKI MyArmy Wyrzutnia Rakiet to niezawodny wóz bojowy z wyrzutnią rakiet, niezbędny w każdej bazie wojskowej! Klocki BLOCKI MyArmy to seria dedykowana wszystkim miłośnikom zabawy w wojsko.</p>";"";"https://icom-poland.com/media/products/10340ff6f546f915c7cc4cfb257263b6/images/KB0916.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6922018379166";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"371.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy
OFERTA|NOWOŚCI ";"Icom Poland"
"KB84020";"Klocki Blocki Wojsko Helikopter 670 el.";"PLN";"";"23.00";"99.99";"122.99";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"<!--[mode:tiny]--><p>Klocki Blocki Wojsko Helikopter 670 el.</p>";"";"https://icom-poland.com/media/products/9cf7c50de3b57027f60ce3a22452faed/images/KB84020.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6944811340204";"0";"0";"0";"1";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"341.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy
OFERTA|PROMOCJE
OFERTA|OFERTA|OFERTA PODSTAWOWA|ZABAWKI DLA DZIEWCZYNEK|PRZEBRANIA, AKCESORIA";"Icom Poland"
